	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	CBNIABCL_00053	1007056UniRef90_O58538 323aa long hypothetical oligopeptide transport permease protein APPB n=1 Tax=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) RepID=O58538_PYRHO	324	20	5.42741E-58	56.16						IPR035906 (G3DSA:1.10.3720.GENE3D); IPR000515 (PFAM); PTHR43163 (PANTHER); PTHR43163:SF6 (PANTHER); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); IPR000515 (PROSITE_PROFILES); IPR000515 (CDD); IPR035906 (SUPERFAMILY); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	C:GO:0016020; P:GO:0055085	C:membrane; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00054	286565UniRef90_Q9RU24 Probable ABC transporter-binding protein DR_1571 n=2 Tax=Deinococcus radiodurans RepID=UF71_DEIRA	578	20	1.87778E-41	42.58	73	F:GO:0000166; F:GO:0000977; F:GO:0000978; F:GO:0001228; P:GO:0001525; P:GO:0001816; P:GO:0001865; P:GO:0002250; P:GO:0002376; F:GO:0003676; F:GO:0003677; F:GO:0004672; F:GO:0004713; F:GO:0004714; F:GO:0004715; F:GO:0005003; F:GO:0005005; F:GO:0005506; F:GO:0005524; C:GO:0005634; C:GO:0005737; C:GO:0005739; C:GO:0005743; C:GO:0005886; C:GO:0005887; P:GO:0006122; P:GO:0006357; P:GO:0006468; P:GO:0007169; P:GO:0007202; P:GO:0007275; P:GO:0007399; P:GO:0007411; P:GO:0007413; F:GO:0008121; F:GO:0009055; C:GO:0009507; C:GO:0009523; C:GO:0009535; C:GO:0009536; C:GO:0009539; C:GO:0009579; P:GO:0009767; P:GO:0015979; C:GO:0016020; C:GO:0016021; F:GO:0016301; P:GO:0016310; F:GO:0016491; F:GO:0016740; P:GO:0018108; P:GO:0019684; F:GO:0020037; P:GO:0022904; C:GO:0030424; C:GO:0030425; P:GO:0032609; P:GO:0032633; P:GO:0032729; P:GO:0038083; C:GO:0042995; C:GO:0045275; P:GO:0045944; P:GO:0046777; F:GO:0046872; P:GO:0048013; P:GO:0050852; P:GO:0051965; P:GO:0055114; P:GO:0060335; P:GO:0060996; P:GO:0060997; C:GO:0070469	F:nucleotide binding; F:RNA polymerase II transcription regulatory region sequence-specific DNA binding; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:DNA-binding transcription activator activity, RNA polymerase II-specific; P:angiogenesis; P:cytokine production; P:NK T cell differentiation; P:adaptive immune response; P:immune system process; F:nucleic acid binding; F:DNA binding; F:protein kinase activity; F:protein tyrosine kinase activity; F:transmembrane receptor protein tyrosine kinase activity; F:non-membrane spanning protein tyrosine kinase activity; F:ephrin receptor activity; F:transmembrane-ephrin receptor activity; F:iron ion binding; F:ATP binding; C:nucleus; C:cytoplasm; C:mitochondrion; C:mitochondrial inner membrane; C:plasma membrane; C:integral component of plasma membrane; P:mitochondrial electron transport, ubiquinol to cytochrome c; P:regulation of transcription by RNA polymerase II; P:protein phosphorylation; P:transmembrane receptor protein tyrosine kinase signaling pathway; P:activation of phospholipase C activity; P:multicellular organism development; P:nervous system development; P:axon guidance; P:axonal fasciculation; F:ubiquinol-cytochrome-c reductase activity; F:electron transfer activity; C:chloroplast; C:photosystem II; C:chloroplast thylakoid membrane; C:plastid; C:photosystem II reaction center; C:thylakoid; P:photosynthetic electron transport chain; P:photosynthesis; C:membrane; C:integral component of membrane; F:kinase activity; P:phosphorylation; F:oxidoreductase activity; F:transferase activity; P:peptidyl-tyrosine phosphorylation; P:photosynthesis, light reaction; F:heme binding; P:respiratory electron transport chain; C:axon; C:dendrite; P:interferon-gamma production; P:interleukin-4 production; P:positive regulation of interferon-gamma production; P:peptidyl-tyrosine autophosphorylation; C:cell projection; C:respiratory chain complex III; P:positive regulation of transcription by RNA polymerase II; P:protein autophosphorylation; F:metal ion binding; P:ephrin receptor signaling pathway; P:T cell receptor signaling pathway; P:positive regulation of synapse assembly; P:oxidation-reduction process; P:positive regulation of interferon-gamma-mediated signaling pathway; P:dendritic spine development; P:dendritic spine morphogenesis; C:respirasome			G3DSA:3.90.76.10 (GENE3D); G3DSA:3.10.105.10 (GENE3D); IPR030678 (PIRSF); IPR000914 (PFAM); G3DSA:3.40.190.10 (GENE3D); IPR039424 (PANTHER); PTHR30290:SF63 (PANTHER); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); PS51257 (PROSITE_PROFILES); cd08500 (CDD); SignalP-TM (SIGNALP_GRAM_POSITIVE); SignalP-noTM (SIGNALP_GRAM_NEGATIVE); SignalP-noTM (SIGNALP_EUK); SSF53850 (SUPERFAMILY)	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport
true	[INTERPRO, BLASTED]	CBNIABCL_00055	248137UniRef90_P95577 Protein-export membrane protein SecG n=83 Tax=Pseudomonas RepID=SECG_PSEU2	101	9	2.51664E-13	62.37						IPR004692 (PRINTS); IPR004692 (TIGRFAM); IPR004692 (PFAM); mobidb-lite (MOBIDB_LITE); IPR004692 (PANTHER); CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SignalP-TM (SIGNALP_EUK); TMhelix (TMHMM); TMhelix (TMHMM)	P:GO:0009306; F:GO:0015450; C:GO:0016021	P:protein secretion; F:P-P-bond-hydrolysis-driven protein transmembrane transporter activity; C:integral component of membrane
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00056	276848UniRef90_Q1AUH8 Triosephosphate isomerase n=1 Tax=Rubrobacter xylanophilus (strain DSM 9941 / NBRC 16129) RepID=TPIS_RUBXD	258	20	9.50782E-45	55.17	11	C:GO:0005783; C:GO:0005789; P:GO:0006486; P:GO:0006487; C:GO:0008250; F:GO:0015035; C:GO:0016020; C:GO:0016021; P:GO:0018279; P:GO:0034622; P:GO:0055114	C:endoplasmic reticulum; C:endoplasmic reticulum membrane; P:protein glycosylation; P:protein N-linked glycosylation; C:oligosaccharyltransferase complex; F:protein disulfide oxidoreductase activity; C:membrane; C:integral component of membrane; P:protein N-linked glycosylation via asparagine; P:cellular protein-containing complex assembly; P:oxidation-reduction process			IPR000652 (PFAM); IPR013785 (G3DSA:3.20.20.GENE3D); IPR000652 (TIGRFAM); IPR000652 (PANTHER); PTHR21139:SF2 (PANTHER); IPR020861 (PROSITE_PATTERNS); IPR000652 (PROSITE_PROFILES); IPR000652 (CDD); IPR035990 (SUPERFAMILY)	F:GO:0003824; F:GO:0004807	F:catalytic activity; F:triose-phosphate isomerase activity
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00057	179654UniRef90_B5EF40 Phosphoglycerate kinase n=4 Tax=Geobacter RepID=PGK_GEOBB	399	20	3.40613E-178	73.91	155	F:GO:0000166; P:GO:0001501; P:GO:0001502; P:GO:0001503; F:GO:0001530; P:GO:0002026; P:GO:0002520; P:GO:0003009; F:GO:0004222; F:GO:0005125; F:GO:0005216; F:GO:0005244; F:GO:0005245; F:GO:0005262; F:GO:0005388; F:GO:0005509; F:GO:0005515; F:GO:0005516; F:GO:0005524; C:GO:0005576; C:GO:0005615; C:GO:0005737; C:GO:0005783; C:GO:0005789; C:GO:0005794; C:GO:0005886; C:GO:0005887; C:GO:0005891; P:GO:0006508; P:GO:0006811; P:GO:0006816; P:GO:0006874; P:GO:0006955; P:GO:0006984; P:GO:0006996; P:GO:0007155; P:GO:0007165; P:GO:0007204; P:GO:0007275; P:GO:0007507; F:GO:0008022; F:GO:0008083; F:GO:0008233; F:GO:0008237; F:GO:0008270; F:GO:0008289; F:GO:0008331; P:GO:0008544; F:GO:0008553; P:GO:0010460; C:GO:0010494; P:GO:0010881; P:GO:0010882; C:GO:0012506; C:GO:0014069; C:GO:0014704; C:GO:0014801; P:GO:0014883; P:GO:0014898; C:GO:0016020; C:GO:0016021; P:GO:0016032; C:GO:0016529; F:GO:0016787; F:GO:0016887; P:GO:0019730; P:GO:0019731; F:GO:0019899; P:GO:0022617; C:GO:0030018; C:GO:0030054; P:GO:0030154; C:GO:0030315; C:GO:0030425; C:GO:0031095; C:GO:0031234; P:GO:0031663; F:GO:0031775; C:GO:0031982; P:GO:0032469; P:GO:0032470; P:GO:0032496; P:GO:0032715; P:GO:0032717; P:GO:0032720; C:GO:0032991; C:GO:0033017; P:GO:0033292; P:GO:0034220; P:GO:0034380; P:GO:0034599; P:GO:0034605; P:GO:0034765; P:GO:0034976; P:GO:0035115; C:GO:0035578; C:GO:0035580; P:GO:0035585; C:GO:0042383; P:GO:0042742; F:GO:0042802; C:GO:0042995; P:GO:0043010; P:GO:0043031; C:GO:0043204; P:GO:0043312; F:GO:0044325; F:GO:0044548; P:GO:0045087; C:GO:0045202; C:GO:0045211; P:GO:0045762; P:GO:0045822; F:GO:0046872; C:GO:0048471; P:GO:0050796; P:GO:0050829; P:GO:0051216; F:GO:0051393; P:GO:0055085; P:GO:0055119; P:GO:0060402; P:GO:0061036; P:GO:0061337; P:GO:0061577; C:GO:0061831; P:GO:0061844; C:GO:0070062; P:GO:0070296; P:GO:0070509; P:GO:0070588; P:GO:0071222; P:GO:0086002; F:GO:0086007; P:GO:0086012; P:GO:0086036; F:GO:0086039; P:GO:0086045; F:GO:0086056; P:GO:0086064; P:GO:0086091; C:GO:0090534; C:GO:0097470; C:GO:0098839; P:GO:0098909; P:GO:0098911; P:GO:0098912; C:GO:0120025; P:GO:1900121; P:GO:1902600; P:GO:1903233; P:GO:1903515; P:GO:1903779; P:GO:1990036; C:GO:1990454	F:nucleotide binding; P:skeletal system development; P:cartilage condensation; P:ossification; F:lipopolysaccharide binding; P:regulation of the force of heart contraction; P:immune system development; P:skeletal muscle contraction; F:metalloendopeptidase activity; F:cytokine activity; F:ion channel activity; F:voltage-gated ion channel activity; F:voltage-gated calcium channel activity; F:calcium channel activity; F:calcium transmembrane transporter activity, phosphorylative mechanism; F:calcium ion binding; F:protein binding; F:calmodulin binding; F:ATP binding; C:extracellular region; C:extracellular space; C:cytoplasm; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:Golgi apparatus; C:plasma membrane; C:integral component of plasma membrane; C:voltage-gated calcium channel complex; P:proteolysis; P:ion transport; P:calcium ion transport; P:cellular calcium ion homeostasis; P:immune response; P:ER-nucleus signaling pathway; P:organelle organization; P:cell adhesion; P:signal transduction; P:positive regulation of cytosolic calcium ion concentration; P:multicellular organism development; P:heart development; F:protein C-terminus binding; F:growth factor activity; F:peptidase activity; F:metallopeptidase activity; F:zinc ion binding; F:lipid binding; F:high voltage-gated calcium channel activity; P:epidermis development; F:proton-exporting ATPase activity, phosphorylative mechanism; P:positive regulation of heart rate; C:cytoplasmic stress granule; P:regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion; P:regulation of cardiac muscle contraction by calcium ion signaling; C:vesicle membrane; C:postsynaptic density; C:intercalated disc; C:longitudinal sarcoplasmic reticulum; P:transition between fast and slow fiber; P:cardiac muscle hypertrophy in response to stress; C:membrane; C:integral component of membrane; P:viral process; C:sarcoplasmic reticulum; F:hydrolase activity; F:ATPase activity; P:antimicrobial humoral response; P:antibacterial humoral response; F:enzyme binding; P:extracellular matrix disassembly; C:Z disc; C:cell junction; P:cell differentiation; C:T-tubule; C:dendrite; C:platelet dense tubular network membrane; C:extrinsic component of cytoplasmic side of plasma membrane; P:lipopolysaccharide-mediated signaling pathway; F:lutropin-choriogonadotropic hormone receptor binding; C:vesicle; P:endoplasmic reticulum calcium ion homeostasis; P:positive regulation of endoplasmic reticulum calcium ion concentration; P:response to lipopolysaccharide; P:negative regulation of interleukin-6 production; P:negative regulation of interleukin-8 production; P:negative regulation of tumor necrosis factor production; C:protein-containing complex; C:sarcoplasmic reticulum membrane; P:T-tubule organization; P:ion transmembrane transport; P:high-density lipoprotein particle assembly; P:cellular response to oxidative stress; P:cellular response to heat; P:regulation of ion transmembrane transport; P:response to endoplasmic reticulum stress; P:embryonic forelimb morphogenesis; C:azurophil granule lumen; C:specific granule lumen; P:calcium-mediated signaling using extracellular calcium source; C:sarcolemma; P:defense response to bacterium; F:identical protein binding; C:cell projection; P:camera-type eye development; P:negative regulation of macrophage activation; C:perikaryon; P:neutrophil degranulation; F:ion channel binding; F:S100 protein binding; P:innate immune response; C:synapse; C:postsynaptic membrane; P:positive regulation of adenylate cyclase activity; P:negative regulation of heart contraction; F:metal ion binding; C:perinuclear region of cytoplasm; P:regulation of insulin secretion; P:defense response to Gram-negative bacterium; P:cartilage development; F:alpha-actinin binding; P:transmembrane transport; P:relaxation of cardiac muscle; P:calcium ion transport into cytosol; P:positive regulation of cartilage development; P:cardiac conduction; P:calcium ion transmembrane transport via high voltage-gated calcium channel; C:apical ectoplasmic specialization; P:antimicrobial humoral immune response mediated by antimicrobial peptide; C:extracellular exosome; P:sarcoplasmic reticulum calcium ion transport; P:calcium ion import; P:calcium ion transmembrane transport; P:cellular response to lipopolysaccharide; P:cardiac muscle cell action potential involved in contraction; F:voltage-gated calcium channel activity involved in cardiac muscle cell action potential; P:membrane depolarization during cardiac muscle cell action potential; P:regulation of cardiac muscle cell membrane potential; F:calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential; P:membrane depolarization during AV node cell action potential; F:voltage-gated calcium channel activity involved in AV node cell action potential; P:cell communication by electrical coupling involved in cardiac conduction; P:regulation of heart rate by cardiac conduction; C:calcium ion-transporting ATPase complex; C:ribbon synapse; C:postsynaptic density membrane; P:regulation of cardiac muscle cell action potential involved in regulation of contraction; P:regulation of ventricular cardiac muscle cell action potential; P:membrane depolarization during atrial cardiac muscle cell action potential; C:plasma membrane bounded cell projection; P:negative regulation of receptor binding; P:proton transmembrane transport; P:regulation of calcium ion-dependent exocytosis of neurotransmitter; P:calcium ion transport from cytosol to endoplasmic reticulum; P:regulation of cardiac conduction; P:calcium ion import into sarcoplasmic reticulum; C:L-type voltage-gated calcium channel complex			IPR001576 (PRINTS); IPR015824 (G3DSA:3.40.50.GENE3D); IPR001576 (PFAM); IPR001576 (PIRSF); IPR015824 (G3DSA:3.40.50.GENE3D); IPR001576 (PANTHER); PTHR11406:SF27 (PANTHER); IPR015911 (PROSITE_PATTERNS); IPR001576 (HAMAP); IPR001576 (CDD); IPR036043 (SUPERFAMILY)	F:GO:0004618; P:GO:0006096	F:phosphoglycerate kinase activity; P:glycolytic process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00058	85663UniRef90_P00362 Glyceraldehyde-3-phosphate dehydrogenase n=52 Tax=Bacillaceae RepID=G3P_GEOSE	342	20	4.69405E-153	73.16	4	F:GO:0000166; F:GO:0005524; C:GO:0005737; C:GO:0005856	F:nucleotide binding; F:ATP binding; C:cytoplasm; C:cytoskeleton			IPR020831 (PRINTS); IPR020828 (SMART); IPR020829 (PFAM); IPR006424 (TIGRFAM); IPR020828 (PFAM); G3DSA:3.40.50.720 (GENE3D); G3DSA:3.30.360.10 (GENE3D); IPR020831 (PIRSF); PTHR43148 (PANTHER); PTHR43148:SF2 (PANTHER); IPR020830 (PROSITE_PATTERNS); SSF55347 (SUPERFAMILY); IPR036291 (SUPERFAMILY)	P:GO:0006006; F:GO:0016620; F:GO:0050661; F:GO:0051287; P:GO:0055114	P:glucose metabolic process; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; F:NADP binding; F:NAD binding; P:oxidation-reduction process
true	[INTERPRO, BLASTED]	CBNIABCL_00059	175220UniRef90_Q92G78 Penicillin-binding protein 1A n=43 Tax=Rickettsia RepID=PBPA_RICCN	790	20	6.36928E-153	54.91						IPR036950 (G3DSA:1.10.3810.GENE3D); IPR001460 (PFAM); IPR012338 (G3DSA:3.40.710.GENE3D); IPR031376 (PFAM); TIGR02074 (TIGRFAM); IPR001264 (PFAM); PTHR32282 (PANTHER); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); IPR023346 (SUPERFAMILY); IPR012338 (SUPERFAMILY); TMhelix (TMHMM)	F:GO:0008658	F:penicillin binding
true	[INTERPRO, NO-BLAST]	CBNIABCL_00060	---NA---	96									CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00061	197440UniRef90_O67742 Orotate phosphoribosyltransferase n=1 Tax=Aquifex aeolicus (strain VF5) RepID=PYRE_AQUAE	212	20	9.67113E-52	60.88	23	F:GO:0000166; F:GO:0000287; P:GO:0000749; P:GO:0002377; F:GO:0005515; F:GO:0005524; C:GO:0005615; C:GO:0005783; C:GO:0005794; C:GO:0005802; C:GO:0005886; P:GO:0006955; P:GO:0015914; C:GO:0016020; C:GO:0016021; C:GO:0030140; P:GO:0045332; C:GO:0070867; F:GO:0090555; F:GO:0140326; P:GO:0140331; F:GO:0140345; F:GO:0140346	F:nucleotide binding; F:magnesium ion binding; P:response to pheromone triggering conjugation with cellular fusion; P:immunoglobulin production; F:protein binding; F:ATP binding; C:extracellular space; C:endoplasmic reticulum; C:Golgi apparatus; C:trans-Golgi network; C:plasma membrane; P:immune response; P:phospholipid transport; C:membrane; C:integral component of membrane; C:trans-Golgi network transport vesicle; P:phospholipid translocation; C:mating projection tip membrane; F:phosphatidylethanolamine flippase activity; F:ATPase-coupled intramembrane lipid transporter activity; P:aminophospholipid translocation; F:phosphatidylcholine flippase activity; F:phosphatidylserine flippase activity			IPR004467 (TIGRFAM); IPR029057 (G3DSA:3.40.50.GENE3D); PTHR19278:SF9 (PANTHER); PTHR19278 (PANTHER); IPR023031 (HAMAP); IPR000836 (CDD); IPR029057 (SUPERFAMILY)	F:GO:0004588; P:GO:0006221; P:GO:0009116	F:orotate phosphoribosyltransferase activity; P:pyrimidine nucleotide biosynthetic process; P:nucleoside metabolic process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00062	995666UniRef90_A0A0P8C4T6 Methyl-accepting chemotaxis protein (Fragment) n=1 Tax=Candidatus Methanoperedens sp. BLZ1 RepID=A0A0P8C4T6_9EURY	368	20	1.52488E-24	64.92	3	F:GO:0003674; C:GO:0005575; P:GO:0008150	F:molecular_function; C:cellular_component; P:biological_process			Coil (COILS); IPR004090 (PRINTS); IPR004089 (SMART); IPR025991 (PFAM); G3DSA:1.10.287.950 (GENE3D); IPR004089 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR32089 (PANTHER); IPR004089 (PROSITE_PROFILES); SSF58104 (SUPERFAMILY)	F:GO:0004888; P:GO:0006935; P:GO:0007165; C:GO:0016020	F:transmembrane signaling receptor activity; P:chemotaxis; P:signal transduction; C:membrane
true	[INTERPRO, NO-BLAST]	CBNIABCL_00064	---NA---	65									CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00065	53115UniRef90_Q2KWB0 Siroheme synthase n=1 Tax=Bordetella avium (strain 197N) RepID=CYSG_BORA1	217	20	7.02274E-17	52.79	55	P:GO:0002002; P:GO:0002548; F:GO:0004252; F:GO:0005125; F:GO:0005198; F:GO:0005515; C:GO:0005576; C:GO:0005615; C:GO:0005737; C:GO:0005882; P:GO:0006508; P:GO:0006897; P:GO:0006935; P:GO:0006954; P:GO:0006955; P:GO:0007186; F:GO:0008009; F:GO:0008233; F:GO:0008236; P:GO:0009100; P:GO:0009636; C:GO:0016020; C:GO:0016021; F:GO:0016787; P:GO:0019882; F:GO:0030246; F:GO:0030280; P:GO:0030282; P:GO:0030593; P:GO:0030595; P:GO:0031647; F:GO:0031726; F:GO:0031730; P:GO:0032760; P:GO:0035690; C:GO:0042613; F:GO:0042802; P:GO:0043117; P:GO:0043547; P:GO:0043922; C:GO:0044322; C:GO:0045111; P:GO:0045616; F:GO:0048020; P:GO:0048247; C:GO:0048471; P:GO:0050850; P:GO:0051928; P:GO:0055088; P:GO:0070098; P:GO:0070374; P:GO:0071346; P:GO:0071347; P:GO:0071356; P:GO:2000503	P:regulation of angiotensin levels in blood; P:monocyte chemotaxis; F:serine-type endopeptidase activity; F:cytokine activity; F:structural molecule activity; F:protein binding; C:extracellular region; C:extracellular space; C:cytoplasm; C:intermediate filament; P:proteolysis; P:endocytosis; P:chemotaxis; P:inflammatory response; P:immune response; P:G protein-coupled receptor signaling pathway; F:chemokine activity; F:peptidase activity; F:serine-type peptidase activity; P:glycoprotein metabolic process; P:response to toxic substance; C:membrane; C:integral component of membrane; F:hydrolase activity; P:antigen processing and presentation; F:carbohydrate binding; F:structural constituent of skin epidermis; P:bone mineralization; P:neutrophil chemotaxis; P:leukocyte chemotaxis; P:regulation of protein stability; F:CCR1 chemokine receptor binding; F:CCR5 chemokine receptor binding; P:positive regulation of tumor necrosis factor production; P:cellular response to drug; C:MHC class II protein complex; F:identical protein binding; P:positive regulation of vascular permeability; P:positive regulation of GTPase activity; P:negative regulation by host of viral transcription; C:endoplasmic reticulum quality control compartment; C:intermediate filament cytoskeleton; P:regulation of keratinocyte differentiation; F:CCR chemokine receptor binding; P:lymphocyte chemotaxis; C:perinuclear region of cytoplasm; P:positive regulation of calcium-mediated signaling; P:positive regulation of calcium ion transport; P:lipid homeostasis; P:chemokine-mediated signaling pathway; P:positive regulation of ERK1 and ERK2 cascade; P:cellular response to interferon-gamma; P:cellular response to interleukin-1; P:cellular response to tumor necrosis factor; P:positive regulation of natural killer cell chemotaxis			IPR006367 (TIGRFAM); PF13241 (PFAM); G3DSA:3.40.50.720 (GENE3D); IPR028161 (PANTHER); IPR036291 (SUPERFAMILY)	F:GO:0004325; P:GO:0006779; P:GO:0019354; F:GO:0043115; P:GO:0055114	F:ferrochelatase activity; P:porphyrin-containing compound biosynthetic process; P:siroheme biosynthetic process; F:precorrin-2 dehydrogenase activity; P:oxidation-reduction process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_00066	24220UniRef90_Q98KC1 Outer membrane protein assembly factor BamD n=47 Tax=Mesorhizobium RepID=BAMD_RHILO	243	13	7.42394E-17	45.52	10	F:GO:0004521; F:GO:0004888; F:GO:0005216; F:GO:0005230; P:GO:0006811; C:GO:0016020; C:GO:0016021; P:GO:0034220; P:GO:0090305; P:GO:0090502	F:endoribonuclease activity; F:transmembrane signaling receptor activity; F:ion channel activity; F:extracellular ligand-gated ion channel activity; P:ion transport; C:membrane; C:integral component of membrane; P:ion transmembrane transport; P:nucleic acid phosphodiester bond hydrolysis; P:RNA phosphodiester bond hydrolysis, endonucleolytic			IPR011990 (G3DSA:1.25.40.GENE3D); IPR017689 (TIGRFAM); IPR039565 (PFAM); PTHR37423:SF1 (PANTHER); PTHR37423 (PANTHER); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); IPR011990 (SUPERFAMILY); TMhelix (TMHMM)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED]	CBNIABCL_00067	76530UniRef90_O67185 3-oxoacyl-	292	20	2.23897E-34	49.52						IPR013747 (PFAM); IPR013751 (PFAM); IPR016039 (G3DSA:3.40.47.GENE3D); PTHR34069 (PANTHER); IPR016039 (SUPERFAMILY)	F:GO:0003824; F:GO:0004315; P:GO:0006633	F:catalytic activity; F:3-oxoacyl-[acyl-carrier-protein] synthase activity; P:fatty acid biosynthetic process
