my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_00078	 hypothetical protein	LFTS_00032	 hypothetical protein	Protein of unknown function (DUF3443)
CBNIABCL_00077	 hypothetical protein	LFTS_00033	 hypothetical protein	Protein of unknown function (DUF2844)
CBNIABCL_00076	 Putative cyclic-di-GMP phosphodiesterase YjcC	LFTS_00034	 EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	Putative diguanylate phosphodiesterase
CBNIABCL_00075	 S-adenosylmethionine:tRNA ribosyltransferase-isomerase	LFTS_00035	 S-adenosylmethionine:tRNA ribosyltransferase-isomerase	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA)
CBNIABCL_00074	 Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	LFTS_00036	 Methyltransferase domain-containing protein	ubiE/COQ5 methyltransferase family
CBNIABCL_00073	 hypothetical protein	LFTS_00037	 hypothetical protein	 Not found 
CBNIABCL_00072	 hypothetical protein	LFTS_00038	 multiple antibiotic resistance protein	MarC family integral membrane protein
CBNIABCL_00071	 hypothetical protein	LFTS_00039	 hypothetical protein	 Not found 
CBNIABCL_00070	 hypothetical protein	LFTS_00040	 hypothetical protein	 Not found 
CBNIABCL_00069	 Sensor histidine kinase ResE	LFTS_00041	 PAS/PAC sensor signal transduction histidine kinase	GHKL domain
CBNIABCL_00068	 Transcriptional regulatory protein ZraR	LFTS_00042	 two-component system, NtrC family, nitrogen regulation response regulator NtrX	Bacterial regulatory protein, Fis family
CBNIABCL_00067	 3-oxoacyl-[acyl-carrier-protein] synthase 3	LFTS_00043	 3-oxoacyl-[acyl-carrier-protein] synthase-3	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
CBNIABCL_00066	 Outer membrane protein assembly factor BamD	LFTS_00044	 outer membrane protein assembly factor BamD	Tetratricopeptide repeat
CBNIABCL_00065	 Precorrin-2 dehydrogenase	LFTS_00045	 precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase	Siroheme synthase
CBNIABCL_00064	 hypothetical protein	LFTS_00046	 hypothetical protein	 Not found 
CBNIABCL_00062	 Biofilm dispersion protein BdlA	LFTS_00048	 Chemoreceptor zinc-binding domain-containing protein	Chemoreceptor zinc-binding domain
CBNIABCL_00061	 Orotate phosphoribosyltransferase	LFTS_00049	 orotate phosphoribosyltransferase	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)
CBNIABCL_00060	 hypothetical protein	LFTS_00050	 hypothetical protein	 Not found 
CBNIABCL_00059	 Penicillin-binding protein 1A	LFTS_00051	 penicillin-binding protein 1A	Penicillin-binding protein OB-like domain
CBNIABCL_00058	 Glyceraldehyde-3-phosphate dehydrogenase	LFTS_00052	 glyceraldehyde 3-phosphate dehydrogenase	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
CBNIABCL_00057	 Phosphoglycerate kinase	LFTS_00053	 phosphoglycerate kinase	Phosphoglycerate kinase
CBNIABCL_00056	 Triosephosphate isomerase	LFTS_00054	 triosephosphate isomerase	Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P)
CBNIABCL_00055	 Protein-export membrane protein SecG	LFTS_00055	 preprotein translocase subunit SecG	Preprotein translocase SecG subunit
CBNIABCL_00054	 putative ABC transporter-binding protein	LFTS_00056	 peptide/nickel transport system substrate-binding protein	Bacterial extracellular solute-binding proteins, family 5 Middle
CBNIABCL_00053	 Dipeptide transport system permease protein DppB	LFTS_00057	 peptide/nickel transport system permease protein	Binding-protein-dependent transport system inner membrane component
CBNIABCL_00052	 Oligopeptide transport system permease protein OppC	LFTS_00058	 peptide/nickel transport system permease protein	Binding-protein-dependent transport system inner membrane component
CBNIABCL_00051	 Phosphoglycolate phosphatase	LFTS_00059	 phosphoglycolate phosphatase	HAD-hyrolase-like
CBNIABCL_00050	 hypothetical protein	LFTS_00060	 hypothetical protein	 Not found 
CBNIABCL_00049	 hypothetical protein	LFTS_00061	 Putative F0F1-ATPase subunit Ca2+/Mg2+ transporter	 Not found 
CBNIABCL_00048	 ATP synthase subunit a	LFTS_00062	 F-type H+-transporting ATPase subunit a	it plays a direct role in the translocation of protons across the membrane
CBNIABCL_00047	 ATP synthase subunit c, sodium ion specific	LFTS_00063	 F-type H+-transporting ATPase subunit c	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
CBNIABCL_00046	 ATP synthase subunit b, sodium ion specific	LFTS_00064	 ATP synthase F0 subcomplex B subunit	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)
CBNIABCL_00045	 ATP synthase subunit delta	LFTS_00065	 F-type H+-transporting ATPase subunit delta	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
CBNIABCL_00044	 ATP synthase subunit alpha	LFTS_00066	 ATP synthase F1 subcomplex alpha subunit	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit
CBNIABCL_00043	 ATP synthase gamma chain	LFTS_00067	 F-type H+-transporting ATPase subunit gamma	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex
CBNIABCL_00042	 ATP synthase subunit beta 1	LFTS_00068	 F-type H+-transporting ATPase subunit beta	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
CBNIABCL_00041	 ATP synthase epsilon chain	LFTS_00069	 F-type H+-transporting ATPase subunit epsilon	Produces ATP from ADP in the presence of a proton gradient across the membrane
CBNIABCL_00039	 Hydroxyacylglutathione hydrolase	LFTS_00070	 Glyoxylase, beta-lactamase superfamily II	Metallo-beta-lactamase superfamily
CBNIABCL_00038	 hypothetical protein	LFTS_00071	 hypothetical protein	 Not found 
CBNIABCL_00036	 hypothetical protein	LFTS_00073	 hypothetical protein	Peptidoglycan-synthase activator LpoB
CBNIABCL_00035	 Response regulator ArlR	LFTS_00074	 DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	Transcriptional regulatory protein, C terminal
CBNIABCL_00034	 Sensor protein kinase WalK	LFTS_00075	 His Kinase A (phospho-acceptor) domain-containing protein	PhoQ Sensor
CBNIABCL_00033	 hypothetical protein	LFTS_00076	 Heavy-metal resistance	 Not found 
CBNIABCL_00032	 Outer membrane protein assembly factor BamB	LFTS_00077	 Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	amino acid activation for nonribosomal peptide biosynthetic process
CBNIABCL_00031	 Carboxymethylenebutenolidase	LFTS_00078	 carboxymethylenebutenolidase	Alpha/beta hydrolase family
CBNIABCL_00030	 hypothetical protein	LFTS_00079	 putative arabinose efflux permease, MFS family	Major facilitator superfamily
CBNIABCL_00029	 UDP-2,3-diacylglucosamine hydrolase	LFTS_00080	 UDP-2,3-diacylglucosamine pyrophosphatase LpxH	Hydrolyzes the pyrophosphate bond of UDP-2,3- diacylglucosamine to yield 2,3-diacylglucosamine 1-phosphate (lipid X) and UMP by catalyzing the attack of water at the alpha-P atom. Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
CBNIABCL_00028	 Processive diacylglycerol beta-glucosyltransferase	LFTS_00081	 processive 1,2-diacylglycerol beta-glucosyltransferase	Monogalactosyldiacylglycerol (MGDG) synthase
CBNIABCL_00027	 hypothetical protein	LFTS_00082	 CHAD domain-containing protein	 Not found 
CBNIABCL_00026	 Lactoylglutathione lyase	LFTS_00083	 lactoylglutathione lyase	Glyoxalase-like domain
CBNIABCL_00025	 Acetyl-coenzyme A synthetase	LFTS_00084	 acetyl-CoA synthetase	Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA
CBNIABCL_00024	 Thiazole synthase	LFTS_00085	 thiazole synthase	Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S
CBNIABCL_00023	 Thiazole tautomerase	LFTS_00086	 thiamine-phosphate pyrophosphorylase	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)
CBNIABCL_00022	 Murein DD-endopeptidase MepM	LFTS_00087	 Peptidase family M23	Peptidase family M23
CBNIABCL_00021	 Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	LFTS_00088	 hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	Phosphomethylpyrimidine kinase
CBNIABCL_00020	 Oxygen sensor protein DosP	LFTS_00089	 diguanylate cyclase (GGDEF) domain-containing protein	Evidence 5 No homology to any previously reported sequences
CBNIABCL_00019	 Threonine--tRNA ligase 2	LFTS_00090	 threonyl-tRNA synthetase	Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)
CBNIABCL_00018	 Translation initiation factor IF-3	LFTS_00091	 translation initiation factor IF-3	Translation initiation factor IF-3, C-terminal domain
CBNIABCL_00017	 50S ribosomal protein L35	LFTS_00092	 large subunit ribosomal protein L35	Belongs to the bacterial ribosomal protein bL35 family
CBNIABCL_00016	 50S ribosomal protein L20	LFTS_00093	 LSU ribosomal protein L20P	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
CBNIABCL_00015	 Phenylalanine--tRNA ligase beta subunit	LFTS_00094	 phenylalanyl-tRNA synthetase beta subunit	B3/4 domain
CBNIABCL_00014	 Phenylalanine--tRNA ligase alpha subunit	LFTS_00095	 phenylalanyl-tRNA synthetase, alpha subunit	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type
CBNIABCL_00013	 Oligopeptide transport ATP-binding protein OppF	LFTS_00096	 peptide/nickel transport system ATP-binding protein	Oligopeptide/dipeptide transporter, C-terminal region
CBNIABCL_00012	 putative ABC transporter ATP-binding protein	LFTS_00097	 peptide/nickel transport system ATP-binding protein	Oligopeptide/dipeptide transporter, C-terminal region
CBNIABCL_00011	 6-carboxy-5,6,7,8-tetrahydropterin synthase	LFTS_00098	 6-pyruvoyltetrahydropterin/6- carboxytetrahydropterin synthase	6-pyruvoyl tetrahydropterin synthase
CBNIABCL_00010	 hypothetical protein	LFTS_00099	 lipoprotein	 Not found 
CBNIABCL_00009	 Ycf48-like protein	LFTS_00100	 hypothetical protein	cellulose binding
CBNIABCL_00008	 Ferric uptake regulation protein	LFTS_00101	 Fur family transcriptional regulator, ferric uptake regulator	Belongs to the Fur family
CBNIABCL_00007	 50S ribosomal protein L21	LFTS_00102	 large subunit ribosomal protein L21	This protein binds to 23S rRNA in the presence of protein L20
CBNIABCL_00006	 50S ribosomal protein L27	LFTS_00103	 large subunit ribosomal protein L27	Belongs to the bacterial ribosomal protein bL27 family
CBNIABCL_00005	 GTPase Obg	LFTS_00104	 GTP-binding protein	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control
CBNIABCL_00004	 Glutamate 5-kinase	LFTS_00105	 glutamate 5-kinase	Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate
CBNIABCL_00002	 Gamma-glutamyl phosphate reductase	LFTS_00106	 glutamate-5-semialdehyde dehydrogenase	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate
CBNIABCL_00001	 Nicotinate-nucleotide adenylyltransferase	LFTS_00107	 nicotinate-nucleotide adenylyltransferase	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)
CBNIABCL_02586	 Ribosomal silencing factor RsfS	LFTS_00108	 ribosome-associated protein	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation
CBNIABCL_02585	 Lipopolysaccharide assembly protein B	LFTS_00109	 hypothetical protein	Tetratricopeptide repeat
CBNIABCL_02584	 Orotate phosphoribosyltransferase	LFTS_00110	 putative amidophosphoribosyltransferases	competence protein
CBNIABCL_02583	 putative ATP-dependent helicase DinG	LFTS_00111	 ATP-dependent DNA helicase DinG	ATP-dependent helicase activity
CBNIABCL_02582	 HTH-type transcriptional activator CmpR	LFTS_00112	 DNA-binding transcriptional regulator, LysR family	Transcriptional regulator, LysR family
CBNIABCL_02581	 hypothetical protein	LFTS_00113	 AAA domain-containing protein	AAA domain, putative AbiEii toxin, Type IV TA system
CBNIABCL_02580	 hypothetical protein	LFTS_00114	 hypothetical protein	
CBNIABCL_02579	 Modulator of FtsH protease YccA	LFTS_00115	 Modulator of FtsH protease YccA	Belongs to the BI1 family
CBNIABCL_02578	 Branched-chain-amino-acid aminotransferase	LFTS_00116	 branched-chain amino acid aminotransferase	Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family
CBNIABCL_02577	 DNA polymerase I, thermostable	LFTS_00117	 DNA polymerase I	In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity
CBNIABCL_02576	 hypothetical protein	LFTS_00118	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_02575	 hypothetical protein	LFTS_00119	 hypothetical protein	 Not found 
CBNIABCL_02574	 Dephospho-CoA kinase	LFTS_00120	 dephospho-CoA kinase	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
CBNIABCL_02573	 UTP--glucose-1-phosphate uridylyltransferase	LFTS_00121	 UDP-glucose pyrophosphorylase	Nucleotidyl transferase
CBNIABCL_02572	 Lon protease	LFTS_00122	 ATP-dependent proteinase. Serine peptidase. MEROPS family S16	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
CBNIABCL_02571	 Thiamine-monophosphate kinase	LFTS_00123	 thiamine-monophosphate kinase	Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1
CBNIABCL_02570	 hypothetical protein	LFTS_00124	 hypothetical protein	Uncharacterized protein conserved in bacteria (DUF2062)
CBNIABCL_02569	 Peptidoglycan-associated lipoprotein	LFTS_00125	 peptidoglycan-associated lipoprotein	Belongs to the ompA family
CBNIABCL_02568	 Peptidoglycan-associated lipoprotein	LFTS_00126	 peptidoglycan-associated lipoprotein	Belongs to the ompA family
CBNIABCL_02567	 hypothetical protein	LFTS_00127	 hypothetical protein	 Not found 
CBNIABCL_02566	 Ribonuclease R	LFTS_00128	 RNAse R	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs
CBNIABCL_02565	 hypothetical protein	LFTS_00129	 hypothetical protein	 Not found 
CBNIABCL_02564	 hypothetical protein	LFTS_00130	 hypothetical protein	 Not found 
CBNIABCL_02563	 hypothetical protein	LFTS_00131	 hypothetical protein	 Not found 
CBNIABCL_02562	 hypothetical protein	LFTS_00132	 uracil-DNA glycosylase, family 4	Uracil DNA glycosylase superfamily
CBNIABCL_02561	 Light-activated DNA-binding protein EL222	LFTS_00133	 regulatory protein, luxR family	response regulator
CBNIABCL_02560	 hypothetical protein	LFTS_00134	 hypothetical protein	 Not found 
CBNIABCL_02559	 hypothetical protein	LFTS_00135	 hypothetical protein	PFAM SMP-30 Gluconolaconase
CBNIABCL_02557	 Dihydrolipoyl dehydrogenase	LFTS_00137	 dihydrolipoamide dehydrogenase	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism
CBNIABCL_02555	 hypothetical protein	LFTS_00138	 hypothetical protein	 Not found 
CBNIABCL_02554	 Phosphatidylinositol-3-phosphatase	LFTS_00139	 Phosphoesterase family protein	Phosphoesterase family
CBNIABCL_02553	 hypothetical protein	LFTS_00140	 hypothetical protein	 Not found 
CBNIABCL_02552	 hypothetical protein	LFTS_00141	 Peroxiredoxin family protein	Belongs to the sulfur carrier protein TusA family
CBNIABCL_02551	 Sulfurtransferase TusA	LFTS_00142	 TusA-related sulfurtransferase	sulfur carrier activity
CBNIABCL_02550	 3'3'-cGAMP-specific phosphodiesterase 2	LFTS_00143	 HD domain-containing protein	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_02549	 Anthranilate phosphoribosyltransferase	LFTS_00144	 anthranilate phosphoribosyltransferase	Glycosyl transferase family, a/b domain
CBNIABCL_02548	 Nucleoside triphosphate pyrophosphohydrolase	LFTS_00145	 tetrapyrrole methylase family protein / MazG family protein	MazG nucleotide pyrophosphohydrolase domain
CBNIABCL_02547	 hypothetical protein	LFTS_00146	 hypothetical protein	 Not found 
CBNIABCL_02546	 Phenol regulator MopR	LFTS_00147	 regulatory protein, Fis family	transcription factor binding
CBNIABCL_02544	 hypothetical protein	LFTS_00149	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_02541	 Mechanosensitive channel MscK	LFTS_00152	 Mechanosensitive ion channel	Mechanosensitive ion channel
CBNIABCL_02540	 Peptide chain release factor 3	LFTS_00153	 peptide chain release factor 3	Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP
CBNIABCL_02539	 Recombination protein RecR	LFTS_00154	 DNA replication and repair protein RecR	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO
CBNIABCL_02538	 Nucleoid-associated protein	LFTS_00155	 Nucleoid-associated protein	Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection
CBNIABCL_02537	 DNA polymerase III subunit tau	LFTS_00156	 DNA polymerase-3 subunit gamma/tau	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity
CBNIABCL_02533	 hypothetical protein	LFTS_00158	 hypothetical protein	 Not found 
CBNIABCL_02532	 hypothetical protein	LFTS_00159	 hypothetical protein	 Not found 
CBNIABCL_02531	 hypothetical protein	LFTS_00160	 DsrE/DsrF-like family protein	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions. Accepts sulfur from TusA and transfers it in turn to TusE
CBNIABCL_02530	 Sulfurtransferase TusA	LFTS_00161	 TusA-related sulfurtransferase	Sulfurtransferase TusA
CBNIABCL_02529	 hypothetical protein	LFTS_00162	 hypothetical protein	 Not found 
CBNIABCL_02528	 hypothetical protein	LFTS_00163	 hypothetical protein	Domain of unknown function (DUF374)
CBNIABCL_02526	 hypothetical protein	LFTS_00164	 hypothetical protein	 Not found 
CBNIABCL_02525	 Outer membrane protein TolC	LFTS_00165	 Outer membrane protein TolC	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_02523	 Cation efflux system protein CusB	LFTS_00166	 membrane fusion protein, Cu(I)/Ag(I) efflux system	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_02522	 Cobalt-zinc-cadmium resistance protein CzcA	LFTS_00167	 cobalt-zinc-cadmium resistance protein CzcA	AcrB/AcrD/AcrF family
CBNIABCL_02521	 4,5-DOPA dioxygenase extradiol	LFTS_00168	 Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	Extradiol ring-cleavage dioxygenase
CBNIABCL_02520	 RNA polymerase-binding transcription factor DksA	LFTS_00169	 transcriptional regulator, TraR/DksA family	Prokaryotic dksA/traR C4-type zinc finger
CBNIABCL_02519	 putative oxidoreductase YciK	LFTS_00170	 NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	Enoyl-(Acyl carrier protein) reductase
CBNIABCL_02518	 hypothetical protein	LFTS_00171	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_02517	 Diaminopimelate epimerase	LFTS_00172	 diaminopimelate epimerase	Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan
CBNIABCL_02516	 hypothetical protein	LFTS_00173	 hypothetical protein	 Not found 
CBNIABCL_02515	 hypothetical protein	LFTS_00174	 GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	diguanylate cyclase activity
