locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDCPAMKM_00166	gene	3528				
DDCPAMKM_00166	CDS	3528				hypothetical protein
DDCPAMKM_00167	gene	1452	phrA			
DDCPAMKM_00167	CDS	1452	phrA	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
DDCPAMKM_00168	gene	1470				
DDCPAMKM_00168	CDS	1470				hypothetical protein
DDCPAMKM_00169	gene	606				
DDCPAMKM_00169	CDS	606				hypothetical protein
DDCPAMKM_00170	gene	1023				
DDCPAMKM_00170	CDS	1023				hypothetical protein
DDCPAMKM_00171	gene	573				
DDCPAMKM_00171	CDS	573				hypothetical protein
DDCPAMKM_00172	gene	810				
DDCPAMKM_00172	CDS	810				hypothetical protein
DDCPAMKM_00173	gene	309				
DDCPAMKM_00173	CDS	309				hypothetical protein
DDCPAMKM_00174	gene	76				
DDCPAMKM_00174	tRNA	76				tRNA-Arg(tcg)
DDCPAMKM_00175	gene	723				
DDCPAMKM_00175	CDS	723				hypothetical protein
DDCPAMKM_00176	gene	1635	pgi			
DDCPAMKM_00176	CDS	1635	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
DDCPAMKM_00177	gene	321	rplU			
DDCPAMKM_00177	CDS	321	rplU		COG0261	50S ribosomal protein L21
DDCPAMKM_00178	gene	273	rpmA			
DDCPAMKM_00178	CDS	273	rpmA		COG0211	50S ribosomal protein L27
DDCPAMKM_00179	gene	1122	obg			
DDCPAMKM_00179	CDS	1122	obg	3.6.5.-	COG0536	GTPase Obg
DDCPAMKM_00180	gene	1161	proB			
DDCPAMKM_00180	CDS	1161	proB	2.7.2.11	COG0263	Glutamate 5-kinase
DDCPAMKM_00181	gene	1272	proA			
DDCPAMKM_00181	CDS	1272	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
DDCPAMKM_00182	gene	735	nadD			
DDCPAMKM_00182	CDS	735	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
DDCPAMKM_00183	gene	531	rsfS			
DDCPAMKM_00183	CDS	531	rsfS			Ribosomal silencing factor RsfS
DDCPAMKM_00184	gene	1398	lapB_1			
DDCPAMKM_00184	CDS	1398	lapB_1			Lipopolysaccharide assembly protein B
DDCPAMKM_00185	gene	585				
DDCPAMKM_00185	CDS	585				hypothetical protein
DDCPAMKM_00186	gene	2160	dinG_1			
DDCPAMKM_00186	CDS	2160	dinG_1	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
DDCPAMKM_00187	gene	1167				
DDCPAMKM_00187	CDS	1167				hypothetical protein
DDCPAMKM_00188	gene	705	yccA			
DDCPAMKM_00188	CDS	705	yccA		COG0670	Modulator of FtsH protease YccA
DDCPAMKM_00189	gene	936	ilvE			
DDCPAMKM_00189	CDS	936	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
DDCPAMKM_00190	gene	2607	polA			
DDCPAMKM_00190	CDS	2607	polA	2.7.7.7		DNA polymerase I
DDCPAMKM_00191	gene	723				
DDCPAMKM_00191	CDS	723				hypothetical protein
DDCPAMKM_00192	gene	438				
DDCPAMKM_00192	CDS	438				hypothetical protein
DDCPAMKM_00193	gene	597	coaE			
DDCPAMKM_00193	CDS	597	coaE	2.7.1.24		Dephospho-CoA kinase
DDCPAMKM_00194	gene	918	gtaB			
DDCPAMKM_00194	CDS	918	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
DDCPAMKM_00195	gene	990	thiL			
DDCPAMKM_00195	CDS	990	thiL	2.7.4.16		Thiamine-monophosphate kinase
DDCPAMKM_00196	gene	486				
DDCPAMKM_00196	CDS	486				hypothetical protein
DDCPAMKM_00197	gene	621	pal_1			
DDCPAMKM_00197	CDS	621	pal_1			Peptidoglycan-associated lipoprotein
DDCPAMKM_00198	gene	537	pal_2			
DDCPAMKM_00198	CDS	537	pal_2			Peptidoglycan-associated lipoprotein
DDCPAMKM_00199	gene	504				
DDCPAMKM_00199	CDS	504				hypothetical protein
DDCPAMKM_00200	gene	2286	rnr			
DDCPAMKM_00200	CDS	2286	rnr	3.1.13.1	COG0557	Ribonuclease R
DDCPAMKM_00201	gene	366				
DDCPAMKM_00201	CDS	366				hypothetical protein
DDCPAMKM_00202	gene	1164				
DDCPAMKM_00202	CDS	1164				hypothetical protein
DDCPAMKM_00203	gene	189				
DDCPAMKM_00203	CDS	189				hypothetical protein
DDCPAMKM_00204	gene	288				
DDCPAMKM_00204	CDS	288				hypothetical protein
DDCPAMKM_00205	gene	77				
DDCPAMKM_00205	tRNA	77				tRNA-Met(cat)
DDCPAMKM_00206	gene	1401	lpd3			
DDCPAMKM_00206	CDS	1401	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
DDCPAMKM_00207	gene	1392				
DDCPAMKM_00207	CDS	1392				hypothetical protein
DDCPAMKM_00208	gene	1026				
DDCPAMKM_00208	CDS	1026				hypothetical protein
DDCPAMKM_00209	gene	294				
DDCPAMKM_00209	CDS	294				hypothetical protein
DDCPAMKM_00210	gene	393				
DDCPAMKM_00210	CDS	393				hypothetical protein
DDCPAMKM_00211	gene	246	tusA_1			
DDCPAMKM_00211	CDS	246	tusA_1		COG0425	Sulfur carrier protein TusA
DDCPAMKM_00212	gene	1251				
DDCPAMKM_00212	CDS	1251		3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase
DDCPAMKM_00213	gene	996	trpD			
DDCPAMKM_00213	CDS	996	trpD	2.4.2.18		Anthranilate phosphoribosyltransferase
DDCPAMKM_00214	gene	831	mazG			
DDCPAMKM_00214	CDS	831	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
DDCPAMKM_00215	gene	132				
DDCPAMKM_00215	CDS	132				hypothetical protein
DDCPAMKM_00216	gene	1371	norR_1			
DDCPAMKM_00216	CDS	1371	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
DDCPAMKM_00217	gene	90				
DDCPAMKM_00217	tRNA	90				tRNA-Ser(cga)
DDCPAMKM_00218	gene	480	tadA			
DDCPAMKM_00218	CDS	480	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
DDCPAMKM_00219	gene	819				
DDCPAMKM_00219	CDS	819				hypothetical protein
DDCPAMKM_00220	gene	86				
DDCPAMKM_00220	tRNA	86				tRNA-Ser(tga)
DDCPAMKM_00221	gene	92				
DDCPAMKM_00221	tRNA	92				tRNA-Ser(gct)
DDCPAMKM_00222	gene	918	mscK			
DDCPAMKM_00222	CDS	918	mscK		COG3264	Mechanosensitive channel MscK
DDCPAMKM_00223	gene	567				
DDCPAMKM_00223	CDS	567				hypothetical protein
DDCPAMKM_00224	gene	1635	prfC			
DDCPAMKM_00224	CDS	1635	prfC		COG4108	Peptide chain release factor 3
DDCPAMKM_00225	gene	609	recR			
DDCPAMKM_00225	CDS	609	recR		COG0353	Recombination protein RecR
DDCPAMKM_00226	gene	318	ybaB			
DDCPAMKM_00226	CDS	318	ybaB			Nucleoid-associated protein YbaB
DDCPAMKM_00227	gene	1632	ruvB_1			
DDCPAMKM_00227	CDS	1632	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
DDCPAMKM_00228	gene	99				
DDCPAMKM_00228	misc_RNA	99				Bacteria_small_SRP
DDCPAMKM_00229	gene	93				
DDCPAMKM_00229	tRNA	93				tRNA-Ser(gga)
DDCPAMKM_00230	gene	1545				
DDCPAMKM_00230	CDS	1545				hypothetical protein
DDCPAMKM_00231	gene	249				
DDCPAMKM_00231	CDS	249				hypothetical protein
DDCPAMKM_00232	gene	360				
DDCPAMKM_00232	CDS	360				hypothetical protein
DDCPAMKM_00233	gene	303				
DDCPAMKM_00233	CDS	303				hypothetical protein
DDCPAMKM_00234	gene	240				
DDCPAMKM_00234	CDS	240				hypothetical protein
DDCPAMKM_00235	gene	1221				
DDCPAMKM_00235	CDS	1221				hypothetical protein
DDCPAMKM_00236	gene	813				
DDCPAMKM_00236	CDS	813				hypothetical protein
DDCPAMKM_00237	gene	1089				
DDCPAMKM_00237	CDS	1089				hypothetical protein
DDCPAMKM_00238	gene	624				
DDCPAMKM_00238	CDS	624				hypothetical protein
DDCPAMKM_00239	gene	1407				
DDCPAMKM_00239	CDS	1407				hypothetical protein
DDCPAMKM_00240	gene	1113				
DDCPAMKM_00240	CDS	1113				hypothetical protein
DDCPAMKM_00241	gene	3090	czcA_1			
DDCPAMKM_00241	CDS	3090	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
DDCPAMKM_00242	gene	801	ygiD			
DDCPAMKM_00242	CDS	801	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
DDCPAMKM_00243	gene	420	dksA_1			
DDCPAMKM_00243	CDS	420	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
DDCPAMKM_00244	gene	744	yciK			
DDCPAMKM_00244	CDS	744	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
DDCPAMKM_00245	gene	897				
DDCPAMKM_00245	CDS	897				hypothetical protein
DDCPAMKM_00246	gene	879	dapF			
DDCPAMKM_00246	CDS	879	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
DDCPAMKM_00247	gene	189				
DDCPAMKM_00247	CDS	189				hypothetical protein
DDCPAMKM_00248	gene	1347				
DDCPAMKM_00248	CDS	1347				hypothetical protein
DDCPAMKM_00249	gene	666				
DDCPAMKM_00249	CDS	666				hypothetical protein
DDCPAMKM_00250	gene	288				
